source_id,source_magnitude,source_completeness_above_ref,source_to_end_time_distance,pos_source_to_start_time_distance,l_hat,G
2854,3.8000000000000003,0.0,15312.513194444444,5450.513194444445,0.0018193385242434666,0.004116121022107929
2871,6.1000000000000005,0.0,15305.284722222223,5443.284722222223,0.003819192603287522,0.02203695279115642
2905,3.8000000000000003,0.0,15304.68888888889,5442.688888888889,0.0004066162558364323,0.004131391017150281
2936,4.1000000000000005,0.0,15299.399305555555,5437.399305555556,0.0011799324174506236,0.0051526786406726624
2960,3.9000000000000004,0.0,15294.393055555556,5432.393055555555,0.0024689569608016106,0.004465084375163625
2989,3.7,0.0,15286.699305555556,5424.699305555556,0.0005769613630931497,0.003874175978126504
3016,3.6,0.0,15276.370833333332,5414.370833333333,0.0003002697425708537,0.003619829984432355
3032,5.0,0.0,15271.47013888889,5409.470138888889,0.007927555440397277,0.010053720578422503
3123,3.7,0.0,15255.749305555555,5393.749305555555,1.0077057243619585,0.003931430151058408
3168,4.800000000000001,0.0,15240.378472222223,5378.378472222223,0.0014654805748240492,0.00882060680110939
3216,3.7,0.0,15223.6,5361.6,0.00262800492387538,0.003991879877414262
3221,6.9,0.0,15223.020138888889,5361.020138888889,0.009071855934920582,0.041022545081074085
3228,3.7,0.0,15222.814583333333,5360.814583333334,0.000631201833453755,0.003993369293294476
3229,4.0,0.0,15222.727083333333,5360.727083333333,0.0014755325557968269,0.004968288327575791
3231,3.7,0.0,15222.601388888888,5360.601388888889,0.0008509677632759049,0.003993773686597826
3233,3.8000000000000003,0.0,15222.570833333333,5360.570833333333,0.0007047626258467952,0.0042954253608112935
3236,3.6,0.0,15222.422222222222,5360.422222222222,0.0005564932218461504,0.0037136757930630844
3241,3.6,0.0,15222.143055555556,5360.143055555555,0.000545792950812618,0.003714168252881019
3248,4.3,0.0,15221.590972222222,5359.590972222222,0.0018427788692262782,0.00618429814739137
3261,4.0,0.0,15219.965277777777,5357.965277777777,0.0012700933456862358,0.004974810263580033
3264,3.6,0.0,15219.673611111111,5357.673611111111,0.0010129379573824788,0.00371852753928119
3353,3.6,0.0,15216.955555555556,5354.955555555555,0.0005191359673001321,0.0037233321420507286
3395,3.8000000000000003,0.0,15216.0625,5354.0625,0.0007495458442510697,0.004308726129091602
3469,3.7,0.0,15212.965972222222,5350.965972222222,0.002271595201501454,0.004012097079315958
