source_id,source_magnitude,source_completeness_above_ref,source_to_end_time_distance,pos_source_to_start_time_distance,l_hat,G
2770,2.8000000000000003,0.0,15340.709027777777,5478.709027777778,0.006564679259159247,0.028931609258231114
2774,3.0,0.0,15340.138888888889,5478.138888888889,1.0032953956927135,0.0330447623546212
2779,3.0,0.0,15338.516666666666,5476.516666666666,0.010697262640730074,0.0330586877935613
2781,2.7,0.0,15338.324305555556,5476.324305555556,0.004000535398883573,0.027089981186077743
2785,2.6,0.0,15335.768055555556,5473.768055555555,0.0022858537018062815,0.025366713538417178
2787,2.8000000000000003,0.0,15334.239583333334,5472.239583333333,0.003930269895162244,0.028980267436538063
2788,2.9000000000000004,0.0,15332.921527777778,5470.921527777778,0.002083292321534236,0.030980182878292305
2790,2.8000000000000003,0.0,15332.652083333332,5470.652083333333,0.0022157590604948403,0.02899222269482789
2791,2.8000000000000003,0.0,15332.61875,5470.61875,0.0018864633335473862,0.028992473788598958
2796,3.3000000000000003,0.0,15331.134722222223,5469.134722222222,0.005235176317158672,0.04042193318146292
2798,2.9000000000000004,0.0,15330.13125,5468.13125,0.0064140989022121574,0.031002652241425493
2802,2.7,0.0,15329.710416666667,5467.710416666667,0.007402705972577781,0.027150673379945027
2803,2.8000000000000003,0.0,15329.565972222223,5467.565972222223,0.002465338057923664,0.0290154810870454
2805,3.2,0.0,15328.707638888889,5466.707638888889,0.03625954714252232,0.03784932366853421
2808,2.8000000000000003,0.0,15327.025694444445,5465.0256944444445,0.003959723957507441,0.0290346429679893
2810,2.8000000000000003,0.0,15326.93888888889,5464.938888888889,0.005704803655759864,0.029035298035424296
2813,2.9000000000000004,0.0,15326.284027777778,5464.284027777778,0.006947605191436332,0.031033665634268112
2816,3.0,0.0,15325.120833333332,5463.120833333333,0.010352254047348687,0.03317395504428885
2827,3.0,0.0,15323.670833333334,5461.670833333334,0.0005323543028209594,0.033186461372886826
2828,3.0,0.0,15323.670833333334,5461.670833333334,0.0027607296628917844,0.033186461372886826
2833,2.8000000000000003,0.0,15321.372916666667,5459.372916666666,0.0004616547760771666,0.029077338777751777
2841,2.7,0.0,15318.854166666666,5456.854166666667,0.001717211752096374,0.0272274022915547
2844,2.8000000000000003,0.0,15316.722916666668,5454.722916666667,0.016036810135816152,0.029112518205315692
2852,2.7,0.0,15313.0875,5451.0875,0.0071895692949311175,0.027268267487355276
2854,3.8000000000000003,0.0,15312.513194444444,5450.513194444445,0.004062204134934861,0.05660880410225972
2856,2.7,0.0,15310.297916666666,5448.297916666666,0.040563760688412595,0.02728806269960397
2857,3.1,0.0,15310.286805555555,5448.2868055555555,0.2750890150848012,0.03558815180557332
2859,2.6,0.0,15309.052083333334,5447.052083333333,0.03517321646876578,0.025543511657608504
2871,6.1000000000000005,0.0,15305.284722222223,5443.284722222223,0.05309055139988576,0.26112998570615764
2872,3.3000000000000003,0.0,15305.274305555555,5443.274305555556,0.00979279437562192,0.04069467636206101
2873,2.9000000000000004,0.0,15305.265972222222,5443.265972222222,0.006646903707440942,0.031203769851606417
2876,2.8000000000000003,0.0,15305.255555555555,5443.2555555555555,0.006608600351625262,0.029199497296913113
2882,2.6,0.0,15305.203472222222,5443.203472222222,0.002884747093023261,0.02556910482920815
2887,2.6,0.0,15305.164583333333,5443.164583333333,0.04128846445224168,0.025569363599736907
2896,3.0,0.0,15304.978472222223,5442.978472222222,1.0071654244798003,0.033348202356914616
2898,3.4000000000000004,0.0,15304.90763888889,5442.907638888889,0.005560486490188026,0.04349225328865608
2900,3.0,0.0,15304.755555555555,5442.7555555555555,0.0032697393471864573,0.033350137028301585
2901,3.0,0.0,15304.752777777778,5442.752777777778,0.0022472796283275784,0.033350161137224034
2902,2.9000000000000004,0.0,15304.752777777778,5442.752777777778,0.013479148217631376,0.0312079375283388
2905,3.8000000000000003,0.0,15304.68888888889,5442.688888888889,0.02335341304933092,0.05672416440393551
2906,3.0,0.0,15304.547222222222,5442.547222222222,0.0028209859733428055,0.03335194525676703
2908,3.3000000000000003,0.0,15304.417361111111,5442.417361111111,0.000579761097936321,0.04070375287179583
2913,2.6,0.0,15303.863888888889,5441.863888888889,0.003163813416612391,0.025578020399133847
2921,2.7,0.0,15302.111111111111,5440.111111111111,0.07268017016280183,0.027346259006543416
2922,2.8000000000000003,0.0,15302.110416666666,5440.110416666666,0.0020022601445953145,0.029223408576366662
2926,2.6,0.0,15301.142361111111,5439.142361111111,0.010661555353433022,0.025596145210179628
2927,3.3000000000000003,0.0,15301.069444444445,5439.069444444444,0.002157002654164995,0.040739236837673144
2931,2.9000000000000004,0.0,15300.082638888889,5438.082638888889,0.012084452493785197,0.03124589532445451
2932,2.6,0.0,15300.002777777778,5438.002777777778,0.011241604379950617,0.025603739275243384
2933,3.0,0.0,15299.986805555556,5437.986805555555,0.008861053208719726,0.033391557502382374
2936,4.1000000000000005,0.0,15299.399305555555,5437.399305555556,0.01710154417834314,0.06932097348242056
2937,2.8000000000000003,0.0,15299.37361111111,5437.373611111111,0.002792301504297519,0.029244234987489418
2939,2.6,0.0,15299.24861111111,5437.248611111111,0.005912721410355475,0.025608766482443535
2942,2.8000000000000003,0.0,15298.85,5436.85,0.00039775670104972064,0.029248221611410923
2946,3.4000000000000004,0.0,15297.722222222223,5435.722222222223,0.007034586741488999,0.04357367502776479
2952,3.1,0.0,15296.56388888889,5434.563888888889,0.01076469943543911,0.035715485734420384
2953,3.0,0.0,15296.304861111112,5434.304861111111,0.0004450719978624088,0.03342358133517321
