id,latitude,longitude,magnitude,time,catalog_id
5907,28.12004242851706,101.08000400588502,4.1,2013-01-08 13:38:39.297246869,5
5908,24.69032884937225,99.66030625610637,4.4,2013-01-08 23:14:57.383142000,10
5909,24.689385144971272,99.6609560794343,3.4,2013-01-08 23:18:06.575746435,10
5910,29.319487784499145,105.22590280672584,6.0,2013-01-08 18:03:46.580298811,10
5907,27.056921363212638,102.7097261459682,3.5,2013-01-08 07:48:49.094048528,21
5907,23.079350870153913,100.95018599768264,3.4,2013-01-08 17:23:30.960320987,23
5907,27.719989870818978,100.68000951637265,3.7,2013-01-08 17:03:19.649621779,26
5907,31.917015431181454,104.18410177716362,3.8,2013-01-08 16:00:39.326687213,33
5907,31.170352164525966,103.5805753372943,4.4,2013-01-08 14:45:32.338520148,39
5908,31.170138181460857,103.58065435594884,3.7,2013-01-08 14:53:28.025720848,39
5908,25.189434411615462,98.07336315288758,3.7,2013-01-08 22:15:59.071517000,47
5908,24.631991988788574,102.93181129075393,3.6,2013-01-08 03:48:02.829380000,49
5908,29.72690063394241,101.0075942143739,4.1,2013-01-08 23:12:00.734511000,51
5909,29.652236200644182,101.00532306610546,3.8,2013-01-08 23:17:42.943905734,51
5907,25.03103230424174,98.02127954983132,3.5,2013-01-08 16:30:16.059624450,54
5908,27.243415029650983,103.59075223119164,3.4,2013-01-08 11:43:23.805580000,59
5909,27.578152758025418,104.01527124170036,3.4,2013-01-08 15:49:26.071546181,59
5907,31.676165001197067,104.06770748026263,4.3,2013-01-08 09:16:23.247621075,68
5907,27.569893860538638,104.03007985759294,3.4,2013-01-08 20:06:12.086204515,70
5908,25.050713467972788,99.1655860240059,3.8,2013-01-08 02:26:43.758293000,76
5908,29.444747705160356,98.43417495366575,4.0,2013-01-08 09:05:27.510455000,82
5908,27.053179471541117,100.05888744876832,4.5,2013-01-08 12:59:01.389252000,83
5909,25.13108618400523,99.95761874225836,3.4,2013-01-08 17:51:17.113969532,83
5908,31.268030382006728,100.77362844505981,3.5,2013-01-08 18:58:58.468989000,105
