source_id,source_magnitude,source_completeness_above_ref,source_to_end_time_distance,pos_source_to_start_time_distance,l_hat,G
2796,3.3000000000000003,0.0,15331.134722222223,5469.134722222222,0.0015643945985840504,0.014370913385523182
2805,3.2,0.0,15328.707638888889,5466.707638888889,0.0008112613293631207,0.01337416972958484
2854,3.8000000000000003,0.0,15312.513194444444,5450.513194444445,0.0024312037265770354,0.020771379292993785
2871,6.1000000000000005,0.0,15305.284722222223,5443.284722222223,0.030566416891341357,0.11052201095580168
2872,3.3000000000000003,0.0,15305.274305555555,5443.274305555556,0.00349179610132727,0.0144796847244463
2898,3.4000000000000004,0.0,15304.90763888889,5442.907638888889,0.0030199617230848015,0.015571492849568854
2905,3.8000000000000003,0.0,15304.68888888889,5442.688888888889,0.0018441353259469188,0.02081884759358348
2908,3.3000000000000003,0.0,15304.417361111111,5442.417361111111,0.0005779889643070773,0.014483305963077158
2927,3.3000000000000003,0.0,15301.069444444445,5439.069444444444,0.0007879974502865405,0.014497463850136018
2936,4.1000000000000005,0.0,15299.399305555555,5437.399305555556,0.009784730903693344,0.02592394982346713
2946,3.4000000000000004,0.0,15297.722222222223,5435.722222222223,0.004971326478053427,0.015604183045988144
2960,3.9000000000000004,0.0,15294.393055555556,5432.393055555555,0.0060776391254787655,0.022453629070279965
2989,3.7,0.0,15286.699305555556,5424.699305555556,0.003025789018268377,0.019463144889215814
3016,3.6,0.0,15276.370833333332,5414.370833333333,0.006008395243657861,0.018155115842616084
3024,3.4000000000000004,0.0,15273.94375,5411.94375,0.00032465482189237356,0.015712951860373692
3032,5.0,0.0,15271.47013888889,5409.470138888889,0.016741359766523346,0.05023040693508186
3096,3.3000000000000003,0.0,15262.893055555556,5400.893055555555,0.007146833884882029,0.014660085789772776
3123,3.7,0.0,15255.749305555555,5393.749305555555,1.0102052142952707,0.019640066129052596
3148,3.2,0.0,15249.135416666666,5387.135416666667,0.0008143047076784764,0.013688639522313917
3159,3.4000000000000004,0.0,15243.859027777778,5381.859027777778,0.013232085103737553,0.015851873292866518
3168,4.800000000000001,0.0,15240.378472222223,5378.378472222223,0.005428825791187113,0.04383982299373243
3188,3.5,0.0,15234.15486111111,5372.154861111111,0.0013407573697076618,0.017093846579379252
3193,3.4000000000000004,0.0,15233.34861111111,5371.3486111111115,0.009782930211508202,0.015900754179637877
3216,3.7,0.0,15223.6,5361.6,0.01830109727027356,0.019825890978877825
3220,3.5,0.0,15223.340972222222,5361.340972222222,0.0016733347952609483,0.017148113127127808
3221,6.9,0.0,15223.020138888889,5361.020138888889,0.09395647265681153,0.20234676045978778
3223,3.3000000000000003,0.0,15222.974305555555,5360.9743055555555,0.00924025715086705,0.014832476638996369
3224,3.5,0.0,15222.969444444445,5360.969444444445,0.0035406204063334894,0.017149981212383095
3225,3.4000000000000004,0.0,15222.965277777777,5360.965277777777,0.0030332628486755982,0.01594922191808765
3228,3.7,0.0,15222.814583333333,5360.814583333334,0.005009688319427493,0.019830457094505496
3229,4.0,0.0,15222.727083333333,5360.727083333333,0.005471357808651068,0.024655732064891103
3230,3.5,0.0,15222.696527777778,5360.696527777778,0.00872932414951001,0.01715135362518437
3231,3.7,0.0,15222.601388888888,5360.601388888889,0.008565496271376427,0.01983169674445532
3232,3.5,0.0,15222.571527777778,5360.571527777778,0.0028676432139543868,0.017151982255261093
3233,3.8000000000000003,0.0,15222.570833333333,5360.570833333333,0.0066156680723928225,0.02132497064757577
3236,3.6,0.0,15222.422222222222,5360.422222222222,0.0038340287560440062,0.018444122995229673
3237,3.4000000000000004,0.0,15222.397222222222,5360.397222222222,0.010400571598623648,0.0159518786274848
3238,3.5,0.0,15222.38125,5360.38125,0.004682363370814643,0.017152939223079405
3239,3.5,0.0,15222.234027777778,5360.234027777778,0.003735020618201634,0.017153679694756084
3240,3.3000000000000003,0.0,15222.230555555556,5360.230555555556,0.007563085552456062,0.014835711589209077
3241,3.6,0.0,15222.143055555556,5360.143055555555,0.006540604682753931,0.01844563282208903
3245,3.4000000000000004,0.0,15221.747222222222,5359.747222222222,0.0046009241983610664,0.015954919230928028
3248,4.3,0.0,15221.590972222222,5359.590972222222,0.0057673434174890644,0.030664551190260406
3249,3.2,0.0,15221.570138888888,5359.570138888889,0.0020617311451673784,0.013799641510791261
3250,3.4000000000000004,0.0,15221.568055555555,5359.5680555555555,0.009390755365392557,0.01595575746840981
3253,3.3000000000000003,0.0,15221.371527777777,5359.371527777777,0.020513427780533413,0.014839448996691722
3254,3.5,0.0,15221.364583333334,5359.364583333333,0.010871983958970573,0.017158053452277347
3255,3.3000000000000003,0.0,15221.252083333333,5359.252083333334,0.002340003954719516,0.014839968758133424
