id,latitude,longitude,magnitude,time,catalog_id
26099,30.629890369992307,99.01992431812198,3.1,2013-01-08 10:15:49.253851858,1
26100,32.12999493793415,104.60003659580356,3.2,2013-01-08 13:33:16.093846853,1
26101,32.629895172631684,105.35194440991353,3.3,2013-01-08 15:20:36.482933327,1
26102,28.369131468213805,104.92032417858309,2.8,2013-01-08 01:08:44.007493091,1
26099,31.8535290194924,104.36313173318436,3.7,2013-01-08 10:13:27.844589193,2
26099,25.68043213747725,106.46952646497662,2.8,2013-01-08 07:39:23.820537604,3
26099,32.383958025759334,104.97889209276845,3.1,2013-01-08 19:27:38.713342568,4
26100,27.030291898183552,102.75026695478974,3.6,2013-01-08 11:09:49.646319649,4
26100,22.304959574915436,101.48521797832356,2.8,2013-01-08 00:55:14.127094000,5
26100,27.45606593414361,100.49963267488978,2.8,2013-01-08 14:08:42.902514000,6
26101,30.82003346679821,99.07065794182861,3.2,2013-01-08 23:37:57.050383421,6
26102,32.33004288340162,104.81995501121102,3.1,2013-01-08 18:37:59.331170270,6
26100,23.533584967502065,100.65198016790185,3.4,2013-01-08 15:23:31.439995000,7
26101,25.231073189146716,98.75298848679671,3.8,2013-01-08 18:45:33.190119479,7
26102,29.284721624331212,100.0822065385949,2.8,2013-01-08 22:24:40.080936107,7
26100,22.783956919012617,99.75553684919946,2.9,2013-01-08 08:46:05.439812000,8
26100,25.137235796997697,97.98958807077342,3.9,2013-01-08 20:57:42.477467000,9
26100,25.125281567530088,99.97060479868286,4.7,2013-01-08 09:28:02.112272763,10
26101,25.125368860364024,99.9704807001048,3.7,2013-01-08 11:53:14.060246516,10
26099,32.43584449556476,105.05280060192445,3.2,2013-01-08 18:49:15.904458777,11
26100,29.31518271145103,100.17217576730194,4.3,2013-01-08 12:40:37.892635000,12
26101,29.314795953018905,100.17241181845453,3.0,2013-01-08 12:42:18.183969414,12
26099,32.26964410113176,104.83018429430717,2.8,2013-01-08 13:22:33.968118691,13
26100,24.921831525735055,105.17247117304323,3.8,2013-01-08 00:23:13.713941000,14
26101,29.82966218844317,96.75831389167685,2.8,2013-01-08 10:50:30.571273000,14
26099,29.329331908847283,105.27018285467669,2.9,2013-01-08 21:26:11.363235468,15
26099,24.478410239483186,103.93546098156693,3.7,2013-01-08 14:39:50.690353203,16
26100,26.47740209103284,102.48690066930843,3.6,2013-01-08 16:26:46.312595394,16
26099,31.780045785888426,104.28010807126446,2.8,2013-01-08 08:09:58.489716871,17
26100,29.380180906635015,105.41992237156036,3.0,2013-01-08 14:13:59.927551315,17
26099,31.61991733387085,103.97999706556018,3.5,2013-01-08 06:21:21.995374020,18
26100,25.530442340842697,105.72788448252929,3.2,2013-01-08 05:07:16.509474649,18
26099,31.78011163166428,104.27023231797973,2.8,2013-01-08 15:50:11.588636053,19
